id,t0,t1,dur,rms_db,peak_db,f_peak,f_lo,f_hi,centroid,bandwidth,flatness,f0_med,f0_min,f0_max,sweep_st,span_st,f0_conf,shape,am_rate,am_depth
0,0.8827,0.9947,0.112,-39.38,-18.58,1031.2,796.9,5531.2,1575.4,1612.7,9e-05,1030.0,1030.0,1126.0,-0.1,1.54,7.88,complex,15.7,0.259
1,1.1013,1.2907,0.1893,-45.27,-31.48,1125.0,1031.2,8343.8,3167.2,2587.9,0.00129,1126.0,796.0,1690.0,6.77,13.03,12.18,arch,18.3,-0.008
2,1.3787,1.856,0.4773,-42.08,-27.16,1828.1,1265.6,8343.8,3466.8,2322.8,0.0002,1828.0,718.0,3748.0,0.17,28.61,6.67,arch,0.0,0.0
3,2.5173,2.784,0.2667,-45.32,-31.86,1171.9,984.4,8062.5,2421.3,2281.6,0.00033,1216.0,1030.0,1402.0,0.19,5.34,17.17,arch,0.0,0.0
4,3.072,3.432,0.36,-34.64,-24.38,1781.2,1359.4,6515.6,2789.0,1757.5,0.00025,1498.0,856.0,2062.0,6.8,15.22,16.55,arch,10.0,0.063
5,3.6933,3.768,0.0747,-44.76,-32.59,1546.9,1406.2,6937.5,3101.6,1995.5,0.00108,1486.0,766.0,1546.0,-8.07,12.16,10.2,fall,153.8,0.541
6,4.104,4.3147,0.2107,-37.01,-23.98,2109.4,1312.5,5906.2,2702.3,1536.3,0.00026,1780.0,718.0,2110.0,5.51,18.66,7.97,arch,87.0,0.478
7,4.4,4.616,0.216,-42.31,-27.78,1781.2,1265.6,5812.5,2814.4,1579.1,9e-05,1828.0,724.0,3748.0,1.38,28.46,6.77,v,150.0,0.424
8,4.992,5.688,0.696,-40.5,-23.56,1875.0,1031.2,6656.2,2857.3,1850.9,0.00016,1828.0,706.0,2416.0,8.08,21.3,5.99,arch,0.0,0.0
9,6.352,6.4373,0.0853,-45.6,-35.47,1218.8,937.5,7359.4,2349.9,2278.0,0.00045,1216.0,940.0,1876.0,6.69,11.96,11.97,rise,34.5,0.116
10,6.568,7.2693,0.7013,-35.72,-15.04,1828.1,937.5,6375.0,2469.7,1819.4,0.0002,1636.0,772.0,2224.0,-7.3,18.32,6.77,rise,37.7,0.31
11,7.5253,7.584,0.0587,-45.22,-34.54,1546.9,1453.1,8671.9,3377.0,2339.0,0.00139,1711.0,760.0,1966.0,0.37,16.45,6.76,v,28.8,0.107
12,8.0187,8.1173,0.0987,-42.54,-26.27,1218.8,937.5,6562.5,2367.4,1992.1,0.00105,979.0,790.0,1966.0,-12.02,15.78,7.01,fall,24.8,0.121
13,8.6187,8.9467,0.328,-34.18,-23.21,2015.6,984.4,6046.9,2523.3,1711.9,0.00014,1450.0,700.0,2062.0,-5.22,18.7,12.38,fall,29.7,0.021
14,9.1413,10.408,1.2667,-34.03,-17.94,1218.8,937.5,7265.6,2731.6,1983.8,5e-05,1078.0,700.0,2110.0,3.85,19.1,4.91,complex,58.3,0.214
15,10.7707,11.0507,0.28,-33.28,-22.44,1875.0,1453.1,7406.2,3059.3,1915.3,0.00024,1522.0,736.0,2254.0,7.39,19.38,13.96,arch,14.6,0.006
16,11.2373,11.32,0.0827,-40.75,-28.66,1781.2,1312.5,6234.4,2957.1,1724.8,0.00119,892.0,736.0,2206.0,17.21,19.0,8.57,rise,34.5,0.084
17,11.456,11.64,0.184,-36.33,-19.17,2062.5,937.5,5156.2,2221.9,1545.6,0.00011,2014.0,982.0,2134.0,-12.33,13.44,13.11,fall,88.2,0.209
18,11.7093,11.776,0.0667,-37.54,-22.71,1031.2,890.6,3234.4,1517.9,1473.7,0.00084,1030.0,988.0,1222.0,-2.53,3.68,13.12,fall,166.7,0.305
19,12.0347,12.168,0.1333,-37.06,-25.28,2062.5,1312.5,5578.1,2660.8,1591.0,0.00059,2038.0,700.0,2110.0,14.51,19.1,7.0,arch,60.6,0.227
20,12.464,12.8293,0.3653,-32.75,-22.51,1781.2,1406.2,6140.6,2616.2,1584.9,0.00021,1780.0,730.0,2158.0,6.27,18.76,17.07,arch,10.7,0.139
21,13.1413,13.312,0.1707,-37.08,-25.98,1781.2,1312.5,5953.1,2715.3,1573.5,0.00024,1780.0,748.0,2158.0,0.36,18.34,6.17,arch,16.6,-0.059
22,13.3867,13.6133,0.2267,-40.54,-26.57,1828.1,1078.1,5812.5,2533.4,1591.4,0.00026,1780.0,748.0,2296.0,0.91,19.42,7.66,fall,15.2,0.033
